,SongID,Song Length,Key,Mode,Tempo,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Name
0,4Dvkj6JhhA12EX05fT7y2e,167303,6,0,173.93,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662,As It Was
1,1qEmFfgcLObUfQm0j1W2CK,177955,10,1,114.996,0.714,0.728,0.0468,0.298,0.0,0.106,0.901,Late Night Talking
2,6UelLqGlWMcVH1E5c4H7lY,174000,0,1,95.39,0.548,0.816,0.0465,0.122,0.0,0.335,0.557,Watermelon Sugar
3,3jjujdWJ72nww5eGnfs2E7,207133,8,1,99.048,0.676,0.771,0.0483,0.0237,7e-06,0.102,0.569,Adore You
4,6uvh0In7u1Xn4HgxOfAn8O,245964,2,1,114.199,0.507,0.294,0.04,0.896,1.97e-05,0.0966,0.386,Matilda
5,1ZMiCix7XSAbfAJlEZWMCp,240133,4,1,110.011,0.567,0.267,0.0299,0.839,1.46e-06,0.089,0.0592,Falling
6,5LYMamLv12UPbemOaTPyeV,193813,11,1,107.041,0.72,0.715,0.04,0.258,0.0568,0.107,0.357,Music For a Sushi Restaurant
7,5Ohxk2dO5COHF1krpoPigN,340707,5,1,119.972,0.516,0.595,0.0313,0.0275,0.0,0.109,0.222,Sign of the Times
8,51Zw1cKDgkad0CXv23HCMU,164533,0,1,145.5,0.686,0.445,0.0398,0.484,0.00144,0.175,0.626,Daylight
9,0rzaRSujxA0bKyjJl6vHYq,218577,0,1,138.984,0.576,0.457,0.0304,0.143,3.05e-05,0.0917,0.301,Satellite
